date,month_name,year,division_name,index,summary
2022-03-01,March,2022,Overall,123.6,"On March 2022, the Core CPI for Overall was 123.6."
2022-04-01,April,2022,Overall,123.8,"On April 2022, the Core CPI for Overall was 123.8."
2022-05-01,May,2022,Overall,124.3,"On May 2022, the Core CPI for Overall was 124.3."
2022-06-01,June,2022,Overall,125.0,"On June 2022, the Core CPI for Overall was 125.0."
2022-07-01,July,2022,Overall,125.4,"On July 2022, the Core CPI for Overall was 125.4."
2022-08-01,August,2022,Overall,126.1,"On August 2022, the Core CPI for Overall was 126.1."
2022-09-01,September,2022,Overall,126.5,"On September 2022, the Core CPI for Overall was 126.5."
2022-10-01,October,2022,Overall,126.6,"On October 2022, the Core CPI for Overall was 126.6."
2022-11-01,November,2022,Overall,127.1,"On November 2022, the Core CPI for Overall was 127.1."
2022-12-01,December,2022,Overall,127.2,"On December 2022, the Core CPI for Overall was 127.2."
2023-01-01,January,2023,Overall,127.7,"On January 2023, the Core CPI for Overall was 127.7."
2023-02-01,February,2023,Overall,128.0,"On February 2023, the Core CPI for Overall was 128.0."
2023-03-01,March,2023,Overall,128.3,"On March 2023, the Core CPI for Overall was 128.3."
2023-04-01,April,2023,Overall,128.3,"On April 2023, the Core CPI for Overall was 128.3."
2023-05-01,May,2023,Overall,128.7,"On May 2023, the Core CPI for Overall was 128.7."
2023-06-01,June,2023,Overall,128.9,"On June 2023, the Core CPI for Overall was 128.9."
2023-07-01,July,2023,Overall,128.89999999999998,"On July 2023, the Core CPI for Overall was 128.89999999999998."
2023-08-01,August,2023,Overall,129.2,"On August 2023, the Core CPI for Overall was 129.2."
2023-09-01,September,2023,Overall,129.6,"On September 2023, the Core CPI for Overall was 129.6."
2023-10-01,October,2023,Overall,129.6,"On October 2023, the Core CPI for Overall was 129.6."
2023-11-01,November,2023,Overall,129.6,"On November 2023, the Core CPI for Overall was 129.6."
2023-12-01,December,2023,Overall,129.6,"On December 2023, the Core CPI for Overall was 129.6."
2024-01-01,January,2024,Overall,129.98583,"On January 2024, the Core CPI for Overall was 129.98583."
2024-02-01,February,2024,Overall,130.3,"On February 2024, the Core CPI for Overall was 130.3."
2024-03-01,March,2024,Overall,130.5,"On March 2024, the Core CPI for Overall was 130.5."
2024-04-01,April,2024,Overall,130.7,"On April 2024, the Core CPI for Overall was 130.7."
2024-05-01,May,2024,Overall,131.2,"On May 2024, the Core CPI for Overall was 131.2."
2024-06-01,June,2024,Overall,131.3,"On June 2024, the Core CPI for Overall was 131.3."
2024-07-01,July,2024,Overall,131.4,"On July 2024, the Core CPI for Overall was 131.4."
2024-08-01,August,2024,Overall,131.7,"On August 2024, the Core CPI for Overall was 131.7."
2024-09-01,September,2024,Overall,131.9,"On September 2024, the Core CPI for Overall was 131.9."
2024-10-01,October,2024,Overall,131.9,"On October 2024, the Core CPI for Overall was 131.9."
2024-11-01,November,2024,Overall,131.9,"On November 2024, the Core CPI for Overall was 131.9."
2024-12-01,December,2024,Overall,131.7,"On December 2024, the Core CPI for Overall was 131.7."
2025-01-01,January,2025,Overall,132.3,"On January 2025, the Core CPI for Overall was 132.3."
2025-02-01,February,2025,Overall,132.8,"On February 2025, the Core CPI for Overall was 132.8."
2025-03-01,March,2025,Overall,133.0,"On March 2025, the Core CPI for Overall was 133.0."
2025-04-01,April,2025,Overall,133.3,"On April 2025, the Core CPI for Overall was 133.3."
2025-05-01,May,2025,Overall,133.5,"On May 2025, the Core CPI for Overall was 133.5."
2025-06-01,June,2025,Overall,133.6,"On June 2025, the Core CPI for Overall was 133.6."
2025-07-01,July,2025,Overall,133.8,"On July 2025, the Core CPI for Overall was 133.8."
2025-08-01,August,2025,Overall,134.3,"On August 2025, the Core CPI for Overall was 134.3."
2018-01-01,January,2018,Food and Beverages,127.2,"On January 2018, the Core CPI for Food and Beverages was 127.2."
2018-02-01,February,2018,Food and Beverages,127.4,"On February 2018, the Core CPI for Food and Beverages was 127.4."
2018-03-01,March,2018,Food and Beverages,127.6,"On March 2018, the Core CPI for Food and Beverages was 127.6."
2018-04-01,April,2018,Food and Beverages,127.9,"On April 2018, the Core CPI for Food and Beverages was 127.9."
2018-05-01,May,2018,Food and Beverages,128.1,"On May 2018, the Core CPI for Food and Beverages was 128.1."
2018-06-01,June,2018,Food and Beverages,126.1,"On June 2018, the Core CPI for Food and Beverages was 126.1."
2018-07-01,July,2018,Food and Beverages,126.2,"On July 2018, the Core CPI for Food and Beverages was 126.2."
2018-08-01,August,2018,Food and Beverages,126.4,"On August 2018, the Core CPI for Food and Beverages was 126.4."
2018-09-01,September,2018,Food and Beverages,127.4,"On September 2018, the Core CPI for Food and Beverages was 127.4."
2018-10-01,October,2018,Food and Beverages,127.8,"On October 2018, the Core CPI for Food and Beverages was 127.8."
2018-11-01,November,2018,Food and Beverages,128.4,"On November 2018, the Core CPI for Food and Beverages was 128.4."
2018-12-01,December,2018,Food and Beverages,128.5,"On December 2018, the Core CPI for Food and Beverages was 128.5."
2019-01-01,January,2019,Food and Beverages,129.2,"On January 2019, the Core CPI for Food and Beverages was 129.2."
2019-02-01,February,2019,Food and Beverages,129.6,"On February 2019, the Core CPI for Food and Beverages was 129.6."
2019-03-01,March,2019,Food and Beverages,129.8,"On March 2019, the Core CPI for Food and Beverages was 129.8."
2019-04-01,April,2019,Food and Beverages,129.9,"On April 2019, the Core CPI for Food and Beverages was 129.9."
2019-05-01,May,2019,Food and Beverages,130.0,"On May 2019, the Core CPI for Food and Beverages was 130.0."
2019-06-01,June,2019,Food and Beverages,129.9,"On June 2019, the Core CPI for Food and Beverages was 129.9."
2019-07-01,July,2019,Food and Beverages,130.1,"On July 2019, the Core CPI for Food and Beverages was 130.1."
2019-08-01,August,2019,Food and Beverages,130.3,"On August 2019, the Core CPI for Food and Beverages was 130.3."
2019-09-01,September,2019,Food and Beverages,130.4,"On September 2019, the Core CPI for Food and Beverages was 130.4."
2019-10-01,October,2019,Food and Beverages,130.5,"On October 2019, the Core CPI for Food and Beverages was 130.5."
2019-11-01,November,2019,Food and Beverages,130.7,"On November 2019, the Core CPI for Food and Beverages was 130.7."
2019-12-01,December,2019,Food and Beverages,130.8,"On December 2019, the Core CPI for Food and Beverages was 130.8."
2020-01-01,January,2020,Food and Beverages,131.0,"On January 2020, the Core CPI for Food and Beverages was 131.0."
2020-02-01,February,2020,Food and Beverages,131.2,"On February 2020, the Core CPI for Food and Beverages was 131.2."
2020-03-01,March,2020,Food and Beverages,131.4,"On March 2020, the Core CPI for Food and Beverages was 131.4."
2020-04-01,April,2020,Food and Beverages,131.3,"On April 2020, the Core CPI for Food and Beverages was 131.3."
2020-05-01,May,2020,Food and Beverages,131.4,"On May 2020, the Core CPI for Food and Beverages was 131.4."
2020-06-01,June,2020,Food and Beverages,131.6,"On June 2020, the Core CPI for Food and Beverages was 131.6."
2020-07-01,July,2020,Food and Beverages,131.7,"On July 2020, the Core CPI for Food and Beverages was 131.7."
2020-08-01,August,2020,Food and Beverages,132.1,"On August 2020, the Core CPI for Food and Beverages was 132.1."
2020-09-01,September,2020,Food and Beverages,132.2,"On September 2020, the Core CPI for Food and Beverages was 132.2."
2020-10-01,October,2020,Food and Beverages,132.2,"On October 2020, the Core CPI for Food and Beverages was 132.2."
2020-11-01,November,2020,Food and Beverages,132.3,"On November 2020, the Core CPI for Food and Beverages was 132.3."
2020-12-01,December,2020,Food and Beverages,132.4,"On December 2020, the Core CPI for Food and Beverages was 132.4."
2021-01-01,January,2021,Food and Beverages,132.6,"On January 2021, the Core CPI for Food and Beverages was 132.6."
2021-02-01,February,2021,Food and Beverages,132.7,"On February 2021, the Core CPI for Food and Beverages was 132.7."
2021-03-01,March,2021,Food and Beverages,132.9,"On March 2021, the Core CPI for Food and Beverages was 132.9."
2021-04-01,April,2021,Food and Beverages,133.0,"On April 2021, the Core CPI for Food and Beverages was 133.0."
2021-05-01,May,2021,Food and Beverages,133.1,"On May 2021, the Core CPI for Food and Beverages was 133.1."
2021-06-01,June,2021,Food and Beverages,133.2,"On June 2021, the Core CPI for Food and Beverages was 133.2."
2021-07-01,July,2021,Food and Beverages,133.2,"On July 2021, the Core CPI for Food and Beverages was 133.2."
2021-08-01,August,2021,Food and Beverages,133.3,"On August 2021, the Core CPI for Food and Beverages was 133.3."
2021-09-01,September,2021,Food and Beverages,133.5,"On September 2021, the Core CPI for Food and Beverages was 133.5."
2021-10-01,October,2021,Food and Beverages,133.8,"On October 2021, the Core CPI for Food and Beverages was 133.8."
2021-11-01,November,2021,Food and Beverages,134.4,"On November 2021, the Core CPI for Food and Beverages was 134.4."
2021-12-01,December,2021,Food and Beverages,135.2,"On December 2021, the Core CPI for Food and Beverages was 135.2."
2022-01-01,January,2022,Food and Beverages,136.3,"On January 2022, the Core CPI for Food and Beverages was 136.3."
2022-02-01,February,2022,Food and Beverages,136.9,"On February 2022, the Core CPI for Food and Beverages was 136.9."
2022-03-01,March,2022,Food and Beverages,137.5,"On March 2022, the Core CPI for Food and Beverages was 137.5."
2022-04-01,April,2022,Food and Beverages,138.1,"On April 2022, the Core CPI for Food and Beverages was 138.1."
2022-05-01,May,2022,Food and Beverages,139.0,"On May 2022, the Core CPI for Food and Beverages was 139.0."
2022-06-01,June,2022,Food and Beverages,140.6,"On June 2022, the Core CPI for Food and Beverages was 140.6."
2022-07-01,July,2022,Food and Beverages,142.2,"On July 2022, the Core CPI for Food and Beverages was 142.2."
2022-08-01,August,2022,Food and Beverages,143.0,"On August 2022, the Core CPI for Food and Beverages was 143.0."
2022-09-01,September,2022,Food and Beverages,143.5,"On September 2022, the Core CPI for Food and Beverages was 143.5."
2022-10-01,October,2022,Food and Beverages,144.4,"On October 2022, the Core CPI for Food and Beverages was 144.4."
2022-11-01,November,2022,Food and Beverages,145.4,"On November 2022, the Core CPI for Food and Beverages was 145.4."
2022-12-01,December,2022,Food and Beverages,146.1,"On December 2022, the Core CPI for Food and Beverages was 146.1."
2023-01-01,January,2023,Food and Beverages,146.9,"On January 2023, the Core CPI for Food and Beverages was 146.9."
2023-02-01,February,2023,Food and Beverages,147.3,"On February 2023, the Core CPI for Food and Beverages was 147.3."
2023-03-01,March,2023,Food and Beverages,147.8,"On March 2023, the Core CPI for Food and Beverages was 147.8."
2023-04-01,April,2023,Food and Beverages,148.0,"On April 2023, the Core CPI for Food and Beverages was 148.0."
2023-05-01,May,2023,Food and Beverages,148.8,"On May 2023, the Core CPI for Food and Beverages was 148.8."
2023-06-01,June,2023,Food and Beverages,149.0,"On June 2023, the Core CPI for Food and Beverages was 149.0."
2023-07-01,July,2023,Food and Beverages,149.9,"On July 2023, the Core CPI for Food and Beverages was 149.9."
2023-08-01,August,2023,Food and Beverages,150.3,"On August 2023, the Core CPI for Food and Beverages was 150.3."
2023-09-01,September,2023,Food and Beverages,150.8,"On September 2023, the Core CPI for Food and Beverages was 150.8."
2023-10-01,October,2023,Food and Beverages,151.3,"On October 2023, the Core CPI for Food and Beverages was 151.3."
2023-11-01,November,2023,Food and Beverages,150.8,"On November 2023, the Core CPI for Food and Beverages was 150.8."
2023-12-01,December,2023,Food and Beverages,150.8,"On December 2023, the Core CPI for Food and Beverages was 150.8."
2024-01-01,January,2024,Food and Beverages,151.2,"On January 2024, the Core CPI for Food and Beverages was 151.2."
2024-02-01,February,2024,Food and Beverages,151.9,"On February 2024, the Core CPI for Food and Beverages was 151.9."
2024-03-01,March,2024,Food and Beverages,152.2,"On March 2024, the Core CPI for Food and Beverages was 152.2."
2024-04-01,April,2024,Food and Beverages,152.8,"On April 2024, the Core CPI for Food and Beverages was 152.8."
2024-05-01,May,2024,Food and Beverages,153.1,"On May 2024, the Core CPI for Food and Beverages was 153.1."
2024-06-01,June,2024,Food and Beverages,153.1,"On June 2024, the Core CPI for Food and Beverages was 153.1."
2024-07-01,July,2024,Food and Beverages,153.9,"On July 2024, the Core CPI for Food and Beverages was 153.9."
2024-08-01,August,2024,Food and Beverages,154.3,"On August 2024, the Core CPI for Food and Beverages was 154.3."
2024-09-01,September,2024,Food and Beverages,154.3,"On September 2024, the Core CPI for Food and Beverages was 154.3."
2024-10-01,October,2024,Food and Beverages,156.2,"On October 2024, the Core CPI for Food and Beverages was 156.2."
2024-11-01,November,2024,Food and Beverages,156.4,"On November 2024, the Core CPI for Food and Beverages was 156.4."
2024-12-01,December,2024,Food and Beverages,156.7,"On December 2024, the Core CPI for Food and Beverages was 156.7."
2025-01-01,January,2025,Food and Beverages,157.3,"On January 2025, the Core CPI for Food and Beverages was 157.3."
2025-02-01,February,2025,Food and Beverages,157.6,"On February 2025, the Core CPI for Food and Beverages was 157.6."
2025-03-01,March,2025,Food and Beverages,157.8,"On March 2025, the Core CPI for Food and Beverages was 157.8."
2025-04-01,April,2025,Food and Beverages,158.3,"On April 2025, the Core CPI for Food and Beverages was 158.3."
2025-05-01,May,2025,Food and Beverages,158.6,"On May 2025, the Core CPI for Food and Beverages was 158.6."
2025-06-01,June,2025,Food and Beverages,158.9,"On June 2025, the Core CPI for Food and Beverages was 158.9."
2025-07-01,July,2025,Food and Beverages,159.3,"On July 2025, the Core CPI for Food and Beverages was 159.3."
2025-08-01,August,2025,Food and Beverages,159.6,"On August 2025, the Core CPI for Food and Beverages was 159.6."
2018-01-01,January,2018,Alcoholic Beverages & Tobacco,,"On January 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-02-01,February,2018,Alcoholic Beverages & Tobacco,,"On February 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-03-01,March,2018,Alcoholic Beverages & Tobacco,,"On March 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-04-01,April,2018,Alcoholic Beverages & Tobacco,,"On April 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-05-01,May,2018,Alcoholic Beverages & Tobacco,,"On May 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-06-01,June,2018,Alcoholic Beverages & Tobacco,,"On June 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-07-01,July,2018,Alcoholic Beverages & Tobacco,,"On July 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-08-01,August,2018,Alcoholic Beverages & Tobacco,,"On August 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-09-01,September,2018,Alcoholic Beverages & Tobacco,,"On September 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-10-01,October,2018,Alcoholic Beverages & Tobacco,,"On October 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-11-01,November,2018,Alcoholic Beverages & Tobacco,,"On November 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-12-01,December,2018,Alcoholic Beverages & Tobacco,,"On December 2018, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-01-01,January,2019,Alcoholic Beverages & Tobacco,,"On January 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-02-01,February,2019,Alcoholic Beverages & Tobacco,,"On February 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-03-01,March,2019,Alcoholic Beverages & Tobacco,,"On March 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-04-01,April,2019,Alcoholic Beverages & Tobacco,,"On April 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-05-01,May,2019,Alcoholic Beverages & Tobacco,,"On May 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-06-01,June,2019,Alcoholic Beverages & Tobacco,,"On June 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-07-01,July,2019,Alcoholic Beverages & Tobacco,,"On July 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-08-01,August,2019,Alcoholic Beverages & Tobacco,,"On August 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-09-01,September,2019,Alcoholic Beverages & Tobacco,,"On September 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-10-01,October,2019,Alcoholic Beverages & Tobacco,,"On October 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-11-01,November,2019,Alcoholic Beverages & Tobacco,,"On November 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-12-01,December,2019,Alcoholic Beverages & Tobacco,,"On December 2019, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-01-01,January,2020,Alcoholic Beverages & Tobacco,,"On January 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-02-01,February,2020,Alcoholic Beverages & Tobacco,,"On February 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-03-01,March,2020,Alcoholic Beverages & Tobacco,,"On March 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-04-01,April,2020,Alcoholic Beverages & Tobacco,,"On April 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-05-01,May,2020,Alcoholic Beverages & Tobacco,,"On May 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-06-01,June,2020,Alcoholic Beverages & Tobacco,,"On June 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-07-01,July,2020,Alcoholic Beverages & Tobacco,,"On July 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-08-01,August,2020,Alcoholic Beverages & Tobacco,,"On August 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-09-01,September,2020,Alcoholic Beverages & Tobacco,,"On September 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-10-01,October,2020,Alcoholic Beverages & Tobacco,,"On October 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-11-01,November,2020,Alcoholic Beverages & Tobacco,,"On November 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-12-01,December,2020,Alcoholic Beverages & Tobacco,,"On December 2020, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-01-01,January,2021,Alcoholic Beverages & Tobacco,,"On January 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-02-01,February,2021,Alcoholic Beverages & Tobacco,,"On February 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-03-01,March,2021,Alcoholic Beverages & Tobacco,,"On March 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-04-01,April,2021,Alcoholic Beverages & Tobacco,,"On April 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-05-01,May,2021,Alcoholic Beverages & Tobacco,,"On May 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-06-01,June,2021,Alcoholic Beverages & Tobacco,,"On June 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-07-01,July,2021,Alcoholic Beverages & Tobacco,,"On July 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-08-01,August,2021,Alcoholic Beverages & Tobacco,,"On August 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-09-01,September,2021,Alcoholic Beverages & Tobacco,,"On September 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-10-01,October,2021,Alcoholic Beverages & Tobacco,,"On October 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-11-01,November,2021,Alcoholic Beverages & Tobacco,,"On November 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-12-01,December,2021,Alcoholic Beverages & Tobacco,,"On December 2021, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-01-01,January,2022,Alcoholic Beverages & Tobacco,,"On January 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-02-01,February,2022,Alcoholic Beverages & Tobacco,,"On February 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-03-01,March,2022,Alcoholic Beverages & Tobacco,,"On March 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-04-01,April,2022,Alcoholic Beverages & Tobacco,,"On April 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-05-01,May,2022,Alcoholic Beverages & Tobacco,,"On May 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-06-01,June,2022,Alcoholic Beverages & Tobacco,,"On June 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-07-01,July,2022,Alcoholic Beverages & Tobacco,,"On July 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-08-01,August,2022,Alcoholic Beverages & Tobacco,,"On August 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-09-01,September,2022,Alcoholic Beverages & Tobacco,,"On September 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-10-01,October,2022,Alcoholic Beverages & Tobacco,,"On October 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-11-01,November,2022,Alcoholic Beverages & Tobacco,,"On November 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-12-01,December,2022,Alcoholic Beverages & Tobacco,,"On December 2022, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-01-01,January,2023,Alcoholic Beverages & Tobacco,,"On January 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-02-01,February,2023,Alcoholic Beverages & Tobacco,,"On February 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-03-01,March,2023,Alcoholic Beverages & Tobacco,,"On March 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-04-01,April,2023,Alcoholic Beverages & Tobacco,,"On April 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-05-01,May,2023,Alcoholic Beverages & Tobacco,,"On May 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-06-01,June,2023,Alcoholic Beverages & Tobacco,,"On June 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-07-01,July,2023,Alcoholic Beverages & Tobacco,,"On July 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-08-01,August,2023,Alcoholic Beverages & Tobacco,,"On August 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-09-01,September,2023,Alcoholic Beverages & Tobacco,,"On September 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-10-01,October,2023,Alcoholic Beverages & Tobacco,,"On October 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-11-01,November,2023,Alcoholic Beverages & Tobacco,,"On November 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-12-01,December,2023,Alcoholic Beverages & Tobacco,,"On December 2023, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-01-01,January,2024,Alcoholic Beverages & Tobacco,,"On January 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-02-01,February,2024,Alcoholic Beverages & Tobacco,,"On February 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-03-01,March,2024,Alcoholic Beverages & Tobacco,,"On March 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-04-01,April,2024,Alcoholic Beverages & Tobacco,,"On April 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-05-01,May,2024,Alcoholic Beverages & Tobacco,,"On May 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-06-01,June,2024,Alcoholic Beverages & Tobacco,,"On June 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
